"WorkID","Title","Author","Year","NumBorrowers","x","y"
-221969953,"Banner of Blue, The","Crockett","1903",13,11.1079089065416,24.9020938595320
-2113179128,"Our New Selection!","Rudd","1903",55,17.3210025585424,-29.6562998811032
15960,"Mr Horrocks Purser","Hyne","1902",23,-13.0110281123137,13.2847720942967
1864577657,"Magpie Jacket, The","Gould","1896",27,34.3635023818144,27.3803068140847
1777147615,"Marty","Winter","1903",37,-6.6930467947038,-37.8099230424915
3806,"Count of Monte Christo, The","Dumas","",3,29.3326962932948,2.97119640224879
1,"David Copperfield","Dickens","",3,32.9489006316959,-28.1195825359734
1529422135,"Mohawks","Braddon","1886",4,63.507184750931,-21.3328773375166
-1900821874,"Faith of Men and Other Stories, The","London","1904",22,-20.8078106466297,-8.90884261413852
1084132890,"Kitty Costello","Alexander","1904",53,-22.8115201547884,-16.6453571590840
20128,"Nada the Lily","Haggard","1892",15,58.268434022845,-11.1111177405418
3681,"Bottom of the Well, The","Adams","",45,-35.6792843310185,27.219368270918
3564,"Queen of the Rushes: A Tale of the Welsh Revival","Raine","1906",39,-48.773435944798,26.1431737770975
-1054841824,"Ziska","Corelli","1897",28,-23.4116009453278,-38.0830364249274
4149,"God and the Man","Buchanan","",11,50.5961674241609,-30.8944347098456
3735,"Garthowen","Raine","",33,-33.9746278115439,-20.6380409561458
-1652056669,"Running Water","Mason","1907",22,-44.9744394645746,10.3339778151378
414267312,"One in Charity","Hocking","1893",31,32.2172807863406,-39.1502949846623
5651,"Nest of Linnets, A","Moore","",14,20.1485156104211,-12.9331543973735
1311813574,"Virginians, The","Thackeray","1857",1,32.2030329619591,-3.49032289131871
16112,"Shorty McCabe","Ford","",31,-45.1925321150285,5.94994080361587
20394,"Soul of Dominic Wildthorne, The","Hocking","1908",39,-42.2699123404759,33.3619647463933
-875160437,"Rising Fortunes","Oxenham","1907",22,-42.2271976708604,-9.0956199762753
20228732,"Last of the Mohicans, The","Cooper","1826",7,23.8555897856839,5.81765061383422
-1803346962,"Brunhilde's Paying Guest","Fuller","1907",32,-38.3756863317085,35.3505814166336
-223440270,"Sheilah McLeod","Boothby","1897",43,37.3806563208847,-25.3414719660277
-1424790954,"St Jude's","Maclaren","1907",20,-26.5343861969437,10.2100201645312
257677773,"Boy in Green, The","Gould","1906",47,7.01281778206754,-15.1801057560610
202468735,"Day Will Come, The","Braddon","1889",4,57.251759331158,-18.4590226574322
-993440859,"Lewis Rand","Johnston","1908",35,-31.5977467456565,27.1192019377956
-1075540956,"Long Road, The","Oxenham","1907",14,-41.4836172727867,7.20381850350928
573071413,"Quadroon, The","Reid","1856",4,46.2389839911568,6.28698323424207
20816,"Ghost Camp, The","Boldrewood","",30,12.8140524708201,36.5754000990981
20486,"Travers: A Story of the San Francisco Earthquake","Dean","1908",34,-56.5456866109693,23.1117520360196
-1975363357,"Conspirators","Oppenheim","1907",34,-46.2770285234732,40.1186223846158
20576,"Woman Intervenes, A","Barr","",31,20.5121981835710,26.6149842786243
-1002613009,"Driscoll, King of Scouts","Hales","1901",23,16.3077194055851,-1.62808314542586
-992109134,"Barriers Burned Away","Roe","1872",18,62.0446467452921,-17.3003879684448
15973,"Sandy Carmichael","Hyne","",19,-38.2099632727746,0.099630531504913
20028,"Main Chance, The","Nicholson","",36,-45.2339287965574,2.15259338019989
3622,"Barlasch of the Guard","Merriman","1903",24,7.04741144117419,8.88824832651439
2000521587,"Scenes of Clerical Life","Eliot","1858",1,33.9693635188323,11.0645760887138
1330,"Ross Durham, Surgeon","Lyall","",29,-46.2142377594368,21.0702458614558
5246,"Deemster, The","Caine","1887",27,50.9696719288187,-18.2302739163099
1296866559,"Last Days of Pompeii, The","Lytton","1834",4,57.0761356639739,-32.0975181301508
675503518,"Consummate Scoundrel, A","Boothby","1904",49,11.0602789382925,-4.24328605490287
115560900,"Black Cross, The","Briggs","1909",38,-25.5159620071865,25.5541002144762
2624,"Show Girl, The","Pemberton","",31,-28.2008021352363,41.8287995416174
-217169642,"Basil","Collins","1852",2,34.8293505513816,-2.98783451820086
127312870,"Newton Forster","Marryat","1832",1,49.0396795494452,5.68083804356789
20315,"Round the Red Lamp","Doyle","",10,21.2338836116303,-27.8603192006039
4242,"Ivanhoe: A Romance","Scott","1820",7,25.8574529875055,-3.83188808733638
19962,"King's Own","Marryat","1838",5,42.0902291540873,7.19983786517358
20404,"Squatter's Dream, The","Boldrewood","1890",28,59.2030512271978,-15.7293889134230
-1238857442,"Garden of Lies, The","Forman","1902",30,-14.5784073506960,-0.307584512297377
-1546612848,"Missionary, The","Griffith","1902",60,-7.69772827844202,-14.9587385822598
1796437770,"Crittenden","Fox","1900",43,-30.1151155805958,-24.9175892719884
1299,"Mary Garth","Swan","",38,-35.131144623813,-22.7497999726950
-1287209163,"Via Crucis","Crawford","1898",8,25.9857984737983,-22.4816835331662
2036705423,"Little Shepherd of Kingdom Come, The","Fox","1902",69,-13.4357289048787,-8.49760775833187
2054962527,"Digby Grand","Whyte-Melville","1853",13,1.86480452140772,12.1619857408670
3712,"By Wit of Woman","Marchmont","",45,-37.5426232672269,5.3401522702888
20042,"Man Who Rose Again, The","Hocking","",34,-36.0637855921210,-0.267912576674056
-569907600,"Maker of History, A","Oppenheim","1905",23,-22.0051971528593,-9.93782216703058
3124,"Prospector, The","Connor","",43,-25.6745016282898,-11.4049168920283
-1495130671,"Ironmaster's Daughter, The","Clay","1906",41,-37.9741722780254,-21.9990673703376
-1561099026,"Man's Fear, A","Drummond","1903",28,-8.74449586595884,13.7291088047188
1313260458,"John Chilcotte, MP","Thurston","1904",21,1.51605355004514,22.0935446354752
446731591,"Mother's Son, A","Fry","1907",32,-55.0423418898622,19.4921399530687
20796,"Windsor Castle","Ainsworth","1843",2,34.3752039381525,5.52863294048692
822185511,"Wilson's Tales of the Borders","Wilson","1857",19,20.8845912289984,10.8958304967916
1337291484,"Wild Huntress, The","Reid","1855",14,20.2473550872681,-0.284802898979456
1030600657,"Perjurer, The","Norris","1909",20,-25.6557252210756,31.6041703024648
-137806521,"Light-Fingered Gentry","Phillips","1907",42,-29.2216111752702,37.7964308568306
20309,"Romola","Eliot","1864",2,53.1207309015896,-4.32959478231217
1896709993,"Calling of Dan Matthews, The","Wright","1909",21,16.8762305283679,17.2799323712057
-99763347,"Criminal Croesus, A","Griffith","1904",24,-5.47648037271373,8.88765022036214
-1807085273,"Lochinvar","Crockett","1897",4,41.1336698408756,-27.8041084266780
5450,"George Canterbury's Will","Wood","",15,61.9937856873445,-23.7403795272934
1817343039,"Master of Beechwood, The","Sergeant","1902",24,-13.3890603505203,-40.4352023816028
1660006030,"Southerners, The","Brady","1905",66,0.333581335692071,-35.3227776970272
16411,"Riverman, The","White","",31,-29.8807657162206,39.5214443096765
878850932,"Adventures of Arthur O'Leary, The","Lever","1844",7,40.2296837450894,0.468521957843762
-493241832,"Anthea's Way","Sergeant","1903",23,-37.7411878794372,-7.39012606970909
-895209630,"Esther Waters","Moore","1894",40,59.8991901914531,-13.5187224544590
-117151922,"Glengarry Days","Connor","1902",60,-5.92884027456644,-35.3315256554185
5362,"Fate of Endelloc, The","Hocking","",58,-2.19746208528756,-18.135421786793
3638,"Before Adam","London","",15,-25.8621970356521,7.06940852030849
-1069803271,"Fordham's Feud","Mitford","1897",28,-29.166729451346,7.23822250602657
1377520262,"Under the Iron Flail","Oxenham","1902",34,11.1412353203444,-8.69855259905398
-1873945069,"Red Court Farm, The","Wood","1868",33,-13.6317668808703,-47.1358345655998
-706818185,"Romance of Jenny Harlowe, The","Russell","1890",6,47.5739267592442,-6.28629082050712
-1734021530,"Wrong Box, The","Stevenson","1889",18,34.5569685779785,-12.6233633753647
1698666637,"Pennycomequicks, The","Baring-Gould","1890",26,-25.2439451053368,11.1661750230956
-978139911,"Strong Man's Vow, A","Hocking","1907",42,-44.3661950693001,18.3435281856888
2128,"Great Expectations","Dickens","",5,41.7969187462609,-8.35080806253757
-1286386564,"Doctor Luke of the Labrador","Duncan","1904",20,-12.2832801575570,5.03487648837165
1019813511,"Light That Failed, The","Kipling","1891",14,23.635062354898,15.5161468116908
568932450,"Katrine","Lane","1909",32,-38.0500247253796,39.1145961822908
5406,"Forging the Blades","Mitford","",16,-33.8486319254437,40.215114403251
-554828228,"Royal Georgie","Baring-Gould","1901",20,-10.1985644985853,0.0581533378099175
447730203,"Raymond's Ride","Gould","1903",62,-18.7544244786638,-16.2641614429698
1192913671,"Lady Betty across the Water","Williamson","1906",26,-1.71645296241104,10.8429591208277
2124699078,"Awakening of Anthony Weir, The","Hocking","1901",47,-18.1841136923920,-31.4918707076202
20463,"Three Musketeers, The","Dumas","",8,29.8412150568009,-9.47210128455611
-1315746537,"Last Hope, The","Merriman","1904",28,1.28851863479044,30.8496971703780
-723135260,"Dark Horse, The","Gould","1899",22,34.4694927656155,22.7116002084497
1256207328,"Marooned","Russell","1889",10,47.9292438849582,-0.899974217159778
-1066310288,"Rajah's Racer, The","Gould","1905",21,8.26712785967137,-18.3587647446181
15562,"My Lost Self","Marchmont","1908",39,-46.962485892199,24.5587108196182
3775,"Cloister and the Hearth, The","Reade","1861",6,45.1063657033895,-28.2636663772685
-2104083745,"War-Trail, The","Reid","1857",10,42.0622321135667,4.03391653163072
2129,"Barnaby Rudge","Dickens","1841",4,27.6967934519415,6.93574695165227
1325863389,"Jack Spurlock, Prodigal","Lorimer","1908",29,-41.9472295172071,35.0496077694015
645009710,"Queen of Night, The","Hill","1896",19,-2.37463886281814,7.66962983134781
350749724,"John Burt","Adams","",31,-30.8144574062178,-11.0114283646479
2131,"Tess of the D'Urbervilles","Hardy","1891",10,58.1481441019982,-9.05416937789192
1125259823,"Boy from Cuba, The","Rhoades","1900",38,21.1704318944624,5.36747823258015
20048,"Martin Chuzzlewit","Dickens","",4,52.6793322121439,-28.0103389217648
5331,"Eric Brighteyes","Haggard","",15,54.5352942212512,-3.66749317206673
21105,"Holmby House: A Tale of Old Northamptonshire","Whyte-Melville","1860",1,30.3558884775807,12.3440587596443
19948,"Johnny Ludlow","Wood","",14,26.6695102820410,-11.4888282076176
-1821469957,"Night and Morning","Lytton","1841",6,26.2340807611233,-8.55638907831147
894,"Childerbridge Mystery, The","Boothby","",49,-0.833543497552432,-8.47694914961629
142426981,"Daltons, The","Lever","1852",1,29.6216174993839,-3.35901079623384
19987,"Les Miserables","Hugo","",12,23.2774143404484,3.55842233344009
3791,"Connie Burt","Boothby","",71,1.6146546737114,-24.6056113363312
-580014552,"Briar and Palm","Swan","1887",53,-6.87253935706015,-38.4775882157752
914,"Lust of Hate, The","Boothby","",39,-18.6191464797900,-25.0978527253111
881703171,"Master of the Mine, The","Buchanan","1891",28,54.0434175028587,-13.097273814498
1418132798,"Grey Wig, The","Zangwill","1903",15,11.2683599785405,19.6349723404104
2941,"Jane Cable","McCutcheon","1906",47,-34.3283558256642,3.32253159879278
269756263,"Rue with a Difference","Carey","1900",36,-28.6740654090389,-30.0706261510911
-9998224,"First Violin, The","Fothergill","1903",15,-30.6844914039345,-17.2031421227213
15764,"Coniston","Churchill","",24,-27.4713972651090,6.22205506034088
-93761987,"My Kalulu, Prince, King and Slave","Stanley","1873",3,55.8946874056524,-10.3036373427565
1248626409,"French Master, The","Barrett","1903",26,-32.6033273320212,11.1965414834001
1151185777,"Silent Places, The","White","1904",44,-28.4856354278877,36.2951253787184
20570,"Within the Maze","Wood","1872",40,-14.6652319293299,-49.6572831706851
-1499887260,"Wizard's Light, The","Hocking","1902",25,-2.60639219434634,-2.06625221318825
20205,"Poacher, The","Marryat","1841",1,48.9790515548706,4.85384076512557
19870,"Harry Coverdale's Courtship","Smedley","",10,20.3940662310356,-9.3167334755211
701011270,"Not So Bad after All","Gould","1897",21,28.6807594830301,25.2094548926458
3632,"Beside the Bonnie Brier Bush","Maclaren","1894",6,35.8186515645576,-41.5472849918113
24011421,"Oswald Cray","Wood","1864",21,-13.1232809211580,-46.6968722738826
2117257551,"Driven Back to Eden","Roe","1886",5,66.0457684229504,-16.7269501632681
229137167,"Marriage of Lydia Mainwaring, The","Sergeant","1902",37,-18.9210715215763,-23.0271934415942
5415,"Four-Leaved Clover","Gray","",29,-2.75040457488393,-29.7007733887550
-498247323,"Spy Company, The","Gunter","1903",50,-6.9908591570754,-21.0313095690309
-907829352,"Tree of Heaven, The","Chambers","1907",27,-52.3726599238012,14.8258259512525
-749329565,"Mr Barnes of New York","Gunter","1887",39,10.4579810173413,-10.4109398353936
3482,"Waters of Jordan, The","Vachell","",38,-35.8510632193070,38.7466211733292
-1014947624,"Two Years Ago","Kingsley","1857",3,30.6030842011793,14.5482939927498
20038,"Man of Mark, A","Hope","",13,21.7671324608936,-6.00579915683915
4946,"Mill on the Floss, The","Eliot","1860",3,30.8351861006644,-5.85085309218929
55345143,"Wooing of Esther Gray, The","Tracy","1902",37,3.75610792038012,-5.01514061268387
415311453,"Sealskin Cloak, The","Boldrewood","1896",3,44.8418864708677,-25.9977428436218
-1607419416,"Socialist, The","Thorne","1909",20,-34.8546797051651,39.6170618958655
-2132186735,"Speckled Bird, A","Wilson","1902",49,1.57733908597405,6.0013926577256
-162302613,"Young Voyageurs, The","Reid","1853",6,36.1139176268699,0.90535901310886
1053385602,"Grey Cloak, The","MacGrath","1904",30,-37.3510334496507,-7.91137331749472
1483318562,"Alice; or, the Mysteries","Lytton","1838",2,30.9520278710759,1.51162521719623
318985946,"Her Faithful Knight","Cooke","1908",28,-45.3327951319435,34.5328403369827
-558154145,"Gulliver's Travels","Swift","1726",4,41.1181790385781,7.35555155084115
3634,"Beautiful White Devil, The","Boothby","1896",43,2.79159633665767,-26.198714570671
21044,"Her Royal Highness, Woman","O'Rell","",12,-8.68044725752288,-7.14041474291935
-2134919697,"Road-Builders, The","Merwin","1905",25,-20.5894990594346,-9.16618075625515
1881797305,"Clipper of the Clouds","Verne","1887",5,48.3946713502796,-10.1918529316975
-11425864,"Romance of War, The","Grant","1845",7,41.5402615290265,-38.824982796277
20545,"Where Billows Roll","Raine","1909",24,-23.7330710495451,31.5560072823907
-492359368,"Hearts and Masks","McGrath","1905",38,-48.3628567399696,0.851107107994855
1753206187,"Pit, The","Norris","1903",33,-14.6516171859781,5.25462150219447
-1080300340,"Marie-ÃƒË†ve","Bower","1903",29,-23.4143602840912,-3.04335043411665
19934,"Japhet in Search of a Father","Marryat","1836",2,49.8024607147457,6.17453238812069
20482,"Trail of the Lonesome Pine, The","Fox","1908",38,-25.1224662286689,41.211596076945
1247361312,"White Wolf and Other Fireside Tales, The","Quiller-Couch","1902",24,6.4824322799085,-4.66811351134672
20770,"Dad in Politics","Rudd","",34,-51.7552057275366,26.8570523285889
5325,"Elusive Pimpernel, The","Orczy","",32,-32.4283349104622,49.498784858028
-1408336355,"Nyria","Praed","1904",21,6.37165741212597,15.7931926066366
20109,"Mr Marx's Secret","Oppenheim","",27,-40.6052516340428,44.1872598473916
20537,"Westward Ho!","Kingsley","1855",1,33.9776233466759,-1.26581865355336
-1741754252,"Beth Norvell: a Romance of the West","Parrish","1907",39,-32.7121094694651,-3.17417985423142
800,"Slaves of the Padishah, The","Jokai","",19,-27.0559714494686,7.05318703774398
20781,"Dawn","Haggard","",12,49.1722195438613,-14.4517827152768
20456,"Thelma","Corelli","",9,47.8027676554335,-21.1694482218413
1799115352,"Johanna","Croker","1903",24,9.56398914467497,-23.7207462091443
-972988757,"Thou Fool","Bell","1907",42,-52.2219613255818,19.9793460985373
99710621,"Jockey Jack","Gould","1892",27,34.6486472595475,31.6894590126072
1320844547,"Gayle Langford","Kramer","1907",31,-58.0023023892856,8.96807498523386
19935,"Jeanne of the Marshes","Oppenheim","",30,-19.8071585274975,40.1321120554611
1629977508,"Malincourt Keep","Sergeant","1904",40,1.96961178946610,-1.81690348293389
-1947387975,"In Low Water","Gould","1904",27,-0.228950322138836,-13.5285643787345
-1208085590,"Life for a Life, A","Mulock","1859",3,36.6567408496817,-2.19368009970703
705421382,"Her Own People","Croker","1903",29,-11.8176129618113,-15.0003562961861
1096518194,"Young YÃƒÂ¤gers, The","Reid","1857",6,36.9238502244079,3.04134253410150
-1410232671,"Passages from the Diary of a Late Physician","Warren","1832",1,25.3569594834534,7.97389130086003
3252,"Meg the Lady","Gallon","",47,-46.7774550935934,3.48878588208711
-683873487,"Queer Affair, A","Boothby","1903",54,-15.6599898564926,-24.4315223653554
-802139649,"Human Boy Again, The","Phillpotts","1908",22,-14.7319079146593,27.6136273866157
1463840189,"Settler, The","Connor","1909",23,-42.7887257013875,36.319042980298
20488,"Treasure Island","Stevenson","",14,19.0164822183720,7.97414642562166
355549790,"Life's Handicap","Kipling","1891",6,55.5579509725813,-7.37702878533359
859668090,"Sherrods, The","McCutcheon","1903",35,-14.1997315751702,2.81775619151132
3764,"Christian, The","Caine","",2,26.3736734845376,-28.8848417041401
3769,"Cinderella","Crockett","",26,2.97134366473675,21.6412745478486
-866950604,"Honey","Mathers","1902",20,-13.2085482147342,3.67299810123425
19955,"Kate Carnegie","Maclaren","1896",6,38.9295218237004,-25.2043862026505
15762,"Richard Carvel","Churchill","",16,9.3672580186648,-30.1005814524918
2681,"Scarlet Pimpernel, The","Orczy","",46,-37.5673165299513,3.57570785289943
20478,"To Right the Wrong","Lyall","",16,55.6760130909225,-19.7365246811158
5309,"East Lynne","Wood","1861",20,60.7908513997613,-21.9948266086873
1710531267,"My Novel","Lytton","1853",19,14.9025117019900,-11.7838536144861
-1836733960,"Blazed Trail Stories","White","1904",14,-12.8910373604214,6.10275249055829
-888585595,"Original Woman, The","Moore","1904",24,-15.5113013651867,16.9492339367005
1094622745,"Prodigal Father, The","Clouston","1909",32,-26.7342530936795,31.4975440155747
20431,"Survivor, The","Oppenheim","",60,-14.8043015878425,-15.4705404798640
2024345477,"Nancy Stair","Lane","1904",30,30.2633417966957,-25.6723435579980
-1788150609,"Anthony Overman","Michelson","1906",25,-45.920494436177,4.47899992281419
5276,"Doctor Nikola","Boothby","",37,17.4453400877648,-16.9651632767955
-276850325,"Infelice","Wilson","1889",14,68.642204753643,-11.7803030975327
579936819,"For Love or Crown","Marchmont","1901",21,-34.4378229904950,-18.582313037376
2944,"Man from Brodneys, The","McCutcheon","",29,-23.7698998475990,44.3969818529306
1623837723,"Boss, and How He Came to Rule New York, The","Lewis","1903",42,-31.2733125089773,31.7800113781514
-668880875,"Captain Fortune","Watson","1904",31,-11.6148674419174,4.14069063952577
893561703,"Man from Downing Street, The","Le Queux","1904",37,-7.46943925909065,12.7482988097470
-1151096046,"Denver's Double","Griffith","1901",24,-1.39003707838408,2.98801915440679
1608444099,"Cumberland Vendetta, A","Fox","1896",29,-18.7804015704596,-14.3543391644353
-464556341,"Dorrien of Cranston","Mitford","1903",21,-36.7888868944942,2.98966010394351
20367,"Silence of Dean Maitland, The","Gray","",18,53.473258664699,-10.8251158970708
1630359425,"Fortunes of the Colville Family, The","Smedley","1853",2,33.7159660213058,-5.20672364497144
1107694549,"Sam Slick's Wise Saws","Slick","1853",2,32.2661670431378,0.313123224243397
-564505614,"Blind Love","Collins","1889",10,64.540613868633,-21.0348687798232
1868114628,"Prince and the Pauper, The","Twain","1882",1,45.794387422195,-17.4723562192688
-2110757282,"Imposter, The","Bindloss","1905",40,-31.5824659700911,42.5633762882135
101586007,"Golden Rapids of High Life, The","Savage","1903",27,-23.8339477532485,-13.9465813026221
20062,"Master Christian, The","Corelli","",2,27.5980622220014,-29.8506561477531
20011,"Lost Square, The","Meade","",33,5.36967966647485,1.86627366899983
20211,"Port of Missing Men","Nicholson","",34,-59.3179796736197,9.58845080864005
1391453995,"Once!","Yorke","1892",35,-52.9202650672450,7.00608499557707
-1655511666,"McTodd","Hyne","1903",20,11.6154150384572,35.3931380967744
666113141,"Girl Who Had Nothing, The","Williamson","1905",51,-35.8460753950893,2.03481827615153
-270245354,"Raiders, The","Crockett","1894",2,51.7903568967501,-7.76126438434997
1296855996,"Waif's Progress, A","Broughton","1894",35,-38.0464697738452,7.6362369187525
-328884807,"Special Messenger","Chambers","1909",25,-25.3672683592565,30.5442658631436
19814,"Land of the Lost, The; a Tale of the New Zealand Gum Country","Satchell","1902",24,28.4562944369308,-36.0655101045654
-1928379278,"Uncommercial Traveller, The","Dickens","1861",1,28.6501302708192,1.29140684796979
1630658045,"Blue Ocean's Daughter, The","Brady","1908",34,-57.8025524815731,10.0642512756677
3114,"Doctor of Crow's Nest, The","Connor","1906",39,-35.633666302645,40.477428498439
19150,"David Harum: A Story of American Life","Westcott","",14,18.7808250943278,-36.8176658943807
-313835688,"Town and Bush","Gould","1896",32,31.0586668137646,30.9957059301358
468125966,"Ten Thousand a-Year","Warren","1841",1,26.0576222037160,-0.279653763091613
875144713,"Mettle of the Pasture, The","Allen","1903",24,-19.2078118623801,5.23123977431291
-676929927,"St Martin's Eve","Wood","1866",26,-12.2870953429957,-47.7715196231695
1382261419,"Eye for an Eye, An","Le Queux","1900",39,-12.4633204971682,-28.5225686133896
-1886877839,"King of the Ranges","Gould","1902",37,35.8684124113295,29.9692511792708
-2088170250,"Sign of the Cross, The","Barrett","",37,27.6965239444595,25.9118278308409
1361354386,"Double Barrelled Detective Story, A","Twain","1902",32,-11.9919562955564,14.7205191723026
1347371947,"Mr Wingrave, Millionaire","Oppenheim","1906",62,-27.1901219515892,37.9110639903781
-683310396,"Man from Red Keg, The","Thwing","1905",25,-5.784928092882,32.9949239079368
5452,"Geoffrey Hamlyn","Kingsley","",2,35.1454332765733,-4.1015060514884
5368,"Felix Holt","Eliot","1866",2,55.0626917809216,-17.6071322322631
-1833471253,"Vicomte De Bragelonne, The","Dumas","",4,27.9288686256944,-4.98795972528575
36200093,"Jesters, The","Rita","1903",32,-22.8982205636336,29.0555110172656
